iter	Passed	Remaining
0	1	1636
1	3	1761
2	5	1862
3	9	2462
4	12	2439
5	14	2424
6	16	2402
7	19	2388
8	24	2718
9	27	2674
10	29	2656
11	31	2631
12	34	2609
13	36	2586
14	39	2572
15	41	2551
16	43	2533
17	45	2472
18	47	2460
19	50	2460
20	52	2448
21	54	2438
22	57	2428
23	59	2419
24	61	2415
25	65	2469
26	68	2461
27	70	2454
28	73	2445
29	75	2438
30	77	2429
31	79	2389
32	81	2382
33	83	2374
34	85	2365
35	88	2356
36	90	2347
37	92	2342
38	94	2340
39	97	2337
40	99	2335
41	102	2332
42	104	2328
43	107	2327
44	109	2313
45	111	2311
46	113	2308
47	116	2305
48	118	2302
49	121	2300
50	123	2306
51	126	2303
52	128	2300
53	131	2296
54	133	2293
55	135	2290
56	138	2287
57	140	2283
58	143	2281
59	145	2279
60	148	2279
61	150	2275
62	152	2271
63	155	2267
64	157	2264
65	159	2261
66	161	2247
67	163	2244
68	166	2241
69	168	2238
70	171	2237
71	173	2234
72	175	2230
73	178	2227
74	180	2226
75	182	2221
76	184	2216
77	187	2212
78	189	2209
79	191	2206
80	194	2203
81	197	2207
82	199	2204
83	201	2199
84	204	2197
85	206	2198
86	209	2196
87	211	2195
88	214	2194
89	216	2193
90	219	2191
91	221	2190
92	224	2187
93	226	2187
94	229	2186
95	231	2184
96	234	2181
97	236	2178
98	239	2182
99	241	2169
100	242	2158
101	243	2144
102	246	2143
103	248	2141
104	251	2140
105	254	2146
106	256	2142
107	259	2139
108	261	2136
109	263	2133
110	266	2136
111	269	2134
112	271	2131
113	273	2121
114	275	2120
115	277	2117
116	280	2115
117	282	2112
118	284	2109
119	287	2107
120	290	2107
121	292	2104
122	294	2101
123	296	2092
124	298	2089
125	299	2079
126	302	2077
127	304	2075
128	307	2072
129	309	2071
130	311	2068
131	314	2066
132	316	2063
133	319	2061
134	321	2060
135	324	2058
136	326	2057
137	329	2055
138	331	2053
139	334	2051
140	336	2050
141	339	2048
142	341	2047
143	344	2045
144	346	2043
145	348	2041
146	351	2039
147	353	2037
148	356	2034
149	358	2032
150	361	2031
151	363	2029
152	366	2027
153	368	2025
154	371	2022
155	373	2021
156	376	2019
157	378	2017
158	380	2015
159	383	2013
160	385	2010
161	388	2007
162	390	2004
163	392	2002
164	395	2002
165	397	1998
166	400	1996
167	402	1993
168	404	1991
169	407	1988
170	409	1986
171	412	1983
172	414	1981
173	416	1974
174	418	1975
175	421	1972
176	423	1970
177	426	1968
178	428	1966
179	431	1963
180	433	1960
181	434	1954
182	437	1953
183	440	1952
184	442	1950
185	445	1947
186	447	1945
187	449	1942
188	452	1939
189	454	1937
190	456	1934
191	459	1932
192	461	1929
193	463	1927
194	466	1924
195	468	1922
196	470	1919
197	473	1917
198	475	1914
199	477	1911
200	480	1909
201	482	1906
202	484	1904
203	487	1901
204	489	1898
205	492	1896
206	494	1894
207	496	1891
208	499	1889
209	501	1886
210	503	1884
211	506	1881
212	508	1878
213	510	1876
214	513	1873
215	515	1871
216	518	1869
217	520	1867
218	523	1865
219	525	1863
220	527	1860
221	530	1857
222	531	1852
223	534	1850
224	536	1847
225	538	1844
226	540	1842
227	543	1839
228	545	1837
229	547	1834
230	550	1831
231	552	1828
232	554	1826
233	557	1824
234	559	1821
235	561	1819
236	564	1816
237	566	1814
238	568	1811
239	571	1808
240	573	1805
241	575	1803
242	578	1800
243	580	1798
244	582	1795
245	584	1792
246	586	1789
247	589	1786
248	592	1785
249	594	1783
250	596	1780
251	598	1777
252	601	1775
253	603	1773
254	606	1770
255	608	1768
256	610	1766
257	613	1764
258	616	1762
259	618	1760
260	621	1758
261	623	1756
262	626	1755
263	628	1752
264	631	1750
265	633	1747
266	636	1746
267	638	1743
268	640	1740
269	642	1738
270	645	1735
271	647	1733
272	649	1730
273	652	1728
274	654	1725
275	656	1722
276	659	1721
277	661	1718
278	664	1716
279	666	1714
280	668	1711
281	671	1709
282	673	1706
283	676	1704
284	678	1701
285	680	1699
286	683	1696
287	685	1694
288	687	1691
289	689	1689
290	692	1686
291	694	1684
292	696	1679
293	698	1677
294	701	1675
295	703	1673
296	705	1670
297	708	1667
298	710	1665
299	712	1663
300	715	1660
301	717	1658
302	720	1656
303	722	1653
304	724	1651
305	727	1648
306	729	1646
307	731	1643
308	733	1641
309	736	1638
310	738	1636
311	740	1633
312	743	1631
313	745	1628
314	747	1626
315	750	1624
316	752	1622
317	755	1619
318	757	1617
319	760	1615
320	762	1612
321	764	1610
322	766	1607
323	769	1605
324	771	1602
325	774	1600
326	776	1597
327	778	1595
328	781	1592
329	783	1590
330	785	1587
331	787	1584
332	790	1583
333	792	1580
334	794	1578
335	797	1575
336	799	1573
337	802	1571
338	804	1568
339	806	1566
340	809	1563
341	811	1561
342	814	1559
343	816	1557
344	819	1555
345	821	1553
346	824	1551
347	826	1548
348	828	1546
349	831	1544
350	834	1542
351	836	1540
352	838	1537
353	841	1535
354	843	1532
355	846	1530
356	848	1529
357	851	1526
358	854	1525
359	856	1522
360	858	1520
361	861	1517
362	863	1516
363	866	1513
364	868	1511
365	870	1508
366	873	1506
367	875	1503
368	877	1500
369	879	1497
370	881	1494
371	883	1492
372	886	1489
373	888	1486
374	890	1484
375	892	1481
376	894	1478
377	896	1475
378	899	1473
379	901	1471
380	903	1468
381	906	1466
382	908	1463
383	911	1461
384	913	1459
385	915	1457
386	918	1454
387	920	1452
388	922	1449
389	925	1447
390	927	1444
391	929	1442
392	932	1439
393	934	1437
394	936	1434
395	938	1431
396	941	1429
397	943	1427
398	945	1424
399	948	1422
400	950	1419
401	952	1417
402	955	1415
403	957	1411
404	959	1409
405	962	1407
406	964	1405
407	967	1403
408	969	1400
409	971	1398
410	974	1396
411	976	1393
412	978	1391
413	981	1389
414	983	1386
415	988	1387
416	990	1385
417	993	1383
418	995	1380
419	998	1378
420	1000	1375
421	1002	1373
422	1005	1371
423	1007	1369
424	1010	1366
425	1012	1364
426	1015	1362
427	1018	1360
428	1020	1358
429	1022	1355
430	1025	1353
431	1027	1351
432	1030	1348
433	1032	1346
434	1034	1344
435	1036	1341
436	1039	1338
437	1041	1336
438	1043	1333
439	1045	1331
440	1048	1328
441	1050	1326
442	1053	1324
443	1055	1322
444	1058	1319
445	1060	1317
446	1062	1314
447	1065	1312
448	1067	1309
449	1069	1307
450	1072	1305
451	1074	1302
452	1077	1300
453	1079	1298
454	1082	1296
455	1084	1293
456	1086	1291
457	1089	1289
458	1091	1286
459	1093	1284
460	1096	1281
461	1098	1278
462	1100	1276
